,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
11206,"[-0.4037594857945704, 39.48181483091893]","[-0.3564827145097131, 39.47411614449376]",4.14698631902792,5936.8,592.0,5113.8,3681.9,5920.2,1208.3
11207,"[-0.4016719383621058, 39.45356722948035]","[-0.3572085749668508, 39.492158526396494]",5.742780658792396,8230.1,789.5,6844.5,4927.9,7390.2,1483.4
11208,"[-0.3401644311609382, 39.445204904992266]","[-0.3354267161925924, 39.4304058479259]",1.6951316191242103,2986.6,298.4,2842.0,2046.2,2765.6,652.2
11209,"[-0.3630269156628166, 39.42907922843602]","[-0.3490107219717879, 39.48816494375419]",6.679317715339736,8983.3,930.4,8689.1,6256.1,8943.8,1800.5
11210,"[-0.3297185466723393, 39.43040864802277]","[-0.3962846668829043, 39.48171407663578]",8.075115826949629,,,10719.7,7718.1,11185.1,2395.3
11211,"[-0.3941239067270981, 39.44253157332145]","[-0.3670250923882709, 39.446203575505415]",2.362509246654557,2895.3,367.7,2989.9,2152.7,3038.0,607.6
11212,"[-0.3938847303438277, 39.44314652253295]","[-0.425747941751479, 39.49789006698333]",6.67341997782687,9800.2,680.5,8620.7,6206.8,8590.1,1767.8
11213,"[-0.3926140064040089, 39.43050437056444]","[-0.3391981360326532, 39.42868357953176]",4.592225406452523,5715.5,485.3,6535.4,4705.4,6302.6,1322.1
11214,"[-0.3592492813905031, 39.48207287982106]","[-0.3688658591085509, 39.477082205027166]",0.9945660168283118,1554.5,186.8,1343.7,967.5,1622.5,324.9
11215,"[-0.417001105599181, 39.44057833092255]","[-0.4069768075707024, 39.4598593315749]",2.3102677923440007,5511.4,582.2,3739.7,2692.6,4039.1,877.2
11216,"[-0.3231977826836529, 39.37274974301458]","[-0.4032139510879043, 39.47355845899013]",13.148747398620936,17304.4,983.1,16834.7,12120.9,17547.5,3693.9
11217,"[-0.3384124931701628, 39.450899469351626]","[-0.3740223219103901, 39.46336085796082]",3.3565878528214164,5195.6,600.6,4281.2,3082.4,5199.9,1043.5
11218,"[-0.3379818917380135, 39.47894121803981]","[-0.3602261369269876, 39.45257627107964]",3.49868547827973,4374.1,474.6,4330.7,3118.0,4637.9,940.8
11219,"[-0.374985633913059, 39.481394548301566]","[-0.3622189149724685, 39.48500563979489]",1.166918267384103,2030.4,219.2,1574.0,1133.2,1694.9,342.8
11220,"[-0.3625481409242201, 39.44410194667152]","[-0.3539875610317773, 39.47733529802602]",3.7677499583022285,5530.6,608.2,5283.0,3803.7,5535.2,1110.6
11221,"[-0.3653704880617827, 39.48837306458141]","[-0.3604571674760101, 39.46259494143649]",2.897252605530921,3560.8,432.0,3376.7,2431.2,3455.6,729.2
