,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
11093,"[24.875829302615525, 60.15512279189591]","[24.933226510541584, 60.25103336400621]",11.126359138131319,19375.5,1888.9,13596.8,9789.5,15579.1,3309.1
11094,"[24.94541381212615, 60.183387021774536]","[25.04396149431586, 60.22970225026625]",7.494533444196759,10698.5,1318.6,8905.6,6411.8,9309.1,1948.4
11095,"[25.10783413877928, 60.20060623483949]","[25.048480459163727, 60.26093181216543]",7.465503446756241,13874.6,1576.5,10446.9,7521.7,10613.8,2216.4
11096,"[25.02640396784884, 60.25009699670814]","[24.980767566429197, 60.185279244458826]",7.635435113828418,12033.8,1374.1,9617.5,6924.4,9914.1,2005.4
11097,"[24.928966391965957, 60.179860260717646]","[25.01644020936867, 60.22343765488157]",6.844254267541571,9843.1,1457.5,8192.5,5898.5,8213.5,1653.0
11098,"[24.899657376258027, 60.21732293046789]","[24.933911519923896, 60.23491541991744]",2.7210540749386016,3423.4,485.6,3294.1,2371.7,3475.4,699.9
11099,"[25.03520014905949, 60.18616366968831]","[25.055050454875406, 60.16984493152914]",2.1207400419480784,2991.9,511.3,2791.9,2010.1,2900.6,611.0
11100,"[24.993967540625132, 60.254293888716006]","[25.03611353568876, 60.22635016814658]",3.8814612327320765,6196.1,964.6,4726.0,3402.7,5177.5,1043.5
11101,"[24.922783636072317, 60.262460285804416]","[24.908896921254158, 60.21305860739978]",5.546436670569964,,,6634.9,4777.0,7570.5,1774.7
11102,"[24.91181012205593, 60.20952096107761]","[25.148398636956603, 60.2135938638936]",13.077346140272006,21543.5,1951.3,16174.2,11645.2,17105.3,3433.4
11103,"[24.90387935628603, 60.22629789031426]","[24.92464562491052, 60.25135368454586]",3.012642512396324,4125.2,618.4,3925.6,2826.4,4095.7,819.1
11104,"[25.11505360814453, 60.21863874310914]","[24.85326227175907, 60.24119988049381]",14.66974108737834,16997.1,1710.5,17072.5,12292.0,17119.9,3441.9
11105,"[24.90750215057091, 60.21167154624192]","[24.942259263050182, 60.26602796083756]",6.341312224815182,,,7793.9,5611.5,8643.2,1934.9
11106,"[25.024278648521094, 60.25313329978504]","[24.896052109202348, 60.18744641202412]",10.173362388397072,14447.8,1783.3,12068.6,8689.2,12612.0,2555.0
11107,"[24.9519839105232, 60.15708343166508]","[25.081012979841056, 60.25356017979466]",12.880537654298701,16117.9,1737.5,15453.8,11126.5,16509.6,3329.3
11108,"[25.12703791778058, 60.23188753794473]","[24.95177992370873, 60.17261241466546]",11.71440799844382,13570.3,1645.6,13792.0,9930.0,14185.0,2884.1
11109,"[24.90634875371921, 60.19564600890777]","[24.996877523752275, 60.26751622408074]",9.425742584608646,12553.7,1415.1,11205.2,8067.6,11552.3,2423.6
11110,"[24.921821665295383, 60.25501493700765]","[25.04221802337757, 60.246887459590205]",6.704079346232276,9525.3,1111.2,7826.6,5635.0,8211.9,1678.5
11111,"[24.864296593184665, 60.205172735622135]","[25.12755511521048, 60.23069191496546]",14.814267202866567,20318.5,1919.3,17529.9,12621.3,17640.4,3530.0
11112,"[25.1497100972691, 60.20499435930559]","[24.967744081702065, 60.18785611368514]",10.23567836310211,12362.4,1449.5,11913.2,8577.3,12335.6,2467.7
11113,"[25.160948377579857, 60.21181600447229]","[25.160421742159365, 60.26333253967565]",5.728451108905638,15061.9,981.5,7814.6,5626.4,9277.8,2037.6
11114,"[25.16248563794973, 60.21187122744123]","[25.16157871058339, 60.220184253791125]",0.9257226846209743,1507.9,212.9,1282.4,923.3,1282.4,291.1
11115,"[24.9787993782495, 60.257683946304695]","[25.172418258286985, 60.22339489210744]",11.3461503963319,16009.2,1239.3,14163.5,10197.5,14575.2,2917.0
11116,"[24.857700624100406, 60.22013275247692]","[25.11201364692528, 60.22617217803165]",14.059709235475344,17753.4,1875.0,16915.8,12179.1,17511.1,3514.6
11117,"[24.942582102639644, 60.20539055971317]","[25.21621518726546, 60.261938002779786]",16.362104737040216,18267.9,1230.5,19022.0,13695.6,19071.7,3860.8
11118,"[25.08323696367817, 60.24203387151092]","[25.1717922630068, 60.22086625212317]",5.426047875945943,7406.4,1107.5,6518.5,4693.3,6606.2,1355.6
11119,"[25.04202495144545, 60.14662925159589]","[24.911177801408343, 60.18850790761677]",8.606496080619538,,,13625.5,9810.1,14068.4,2831.0
11120,"[25.14373790461344, 60.201768452627896]","[25.04403324445897, 60.15025058411159]",7.950976570904372,,,11964.6,8614.4,12735.4,2645.3
11121,"[25.00889631196518, 60.243993510148734]","[25.04037989313824, 60.24214186202905]",1.74968612897251,2306.4,442.9,2046.0,1473.1,2441.0,515.6
11122,"[24.94532009118951, 60.20070684440434]","[25.15647709490273, 60.222769947037456]",11.919762814924637,17978.4,1429.1,15075.4,10854.0,16010.3,3354.4
11123,"[25.107729096636977, 60.229761621668736]","[24.9236973455431, 60.2223854137536]",10.194737429544643,14465.7,1498.1,12318.8,8869.4,12476.7,2533.3
11124,"[24.9553980369556, 60.17612586917433]","[24.865797994226483, 60.24867431932216]",9.46437896129554,12890.7,1825.3,11070.4,7970.5,11799.4,2444.1
11125,"[24.908158196772344, 60.16288345223618]","[25.0051080564691, 60.22812813260307]",9.01911064066521,10322.7,1568.4,10184.9,7332.9,10467.3,2115.5
11126,"[25.047068850352105, 60.265760503916205]","[25.146625575300508, 60.22253173665605]",7.300117778000306,12466.7,1315.1,8833.2,6359.8,8963.2,1836.7
11127,"[24.86095322970529, 60.24831383462385]","[24.83413767725533, 60.25057692087365]",1.5008666680540739,2028.5,246.8,1822.6,1312.2,1858.8,374.1
11128,"[24.88513523026704, 60.17912998957837]","[25.11461516300459, 60.216486950111126]",13.345082100503221,,,16338.8,11763.7,,
11129,"[24.924706117817063, 60.189343638091245]","[25.00117296298045, 60.26713072652131]",9.624945948705275,12452.6,1491.9,11164.6,8038.3,11521.1,2308.6
11130,"[25.15325768658772, 60.24148044104228]","[24.850978645544085, 60.16444058232299]",18.771366237374583,29960.2,2393.0,23141.9,16661.8,24524.2,4964.2
11131,"[24.975132336781076, 60.22859655057651]","[25.076124088517773, 60.24509779191908]",5.868836516567164,12678.0,1287.4,7375.6,5310.4,7511.6,1557.8
11132,"[24.94900631432637, 60.15863800130045]","[24.90373582904277, 60.22070772525083]",7.3415098654208695,8728.7,1457.1,8168.5,5881.2,8431.8,1818.4
11133,"[24.926379923725385, 60.242122817478425]","[24.841773043374005, 60.24407019678846]",4.674335395383742,5498.5,567.4,5650.7,4068.4,5911.5,1187.5
11134,"[24.925041312042502, 60.16987147399709]","[24.966881213550835, 60.204896045182245]",4.529628763695172,5566.8,1003.6,5204.9,3747.4,5422.8,1089.4
11135,"[24.91273412698345, 60.185318456911865]","[24.953059058966637, 60.17315748964058]",2.6077918140867267,3872.7,661.6,3249.5,2339.6,3860.9,809.5
11136,"[24.88133087529724, 60.15059183981152]","[25.055632466123733, 60.22027152191599]",12.364912462542325,15506.5,2173.3,14971.3,10779.1,15551.3,3186.2
11137,"[24.935269932534972, 60.17451113527657]","[24.988706536913533, 60.270811262490255]",11.107250011023293,13576.2,1699.8,12763.0,9189.2,13297.4,2844.1
11138,"[24.931763883970437, 60.18492584456973]","[25.13045381365405, 60.22214093227104]",11.732605928207095,15286.7,1794.0,13547.2,9753.7,14077.9,2933.3
