,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
10893,"[2.171812527670807, 41.37795857154571]","[2.1392716148438424, 41.38616005962338]",2.8640135434655387,4509.0,600.6,3514.1,2530.1,3758.3,800.6
10894,"[2.1521394949906028, 41.40357828007515]","[2.2072003725868656, 41.40547410620948]",4.597063750288267,6972.9,778.2,5590.7,4025.2,6267.1,1301.3
10895,"[2.150119934488499, 41.41849846360691]","[2.1421996389080373, 41.38555155924268]",3.7226111658959713,6052.6,785.6,4536.7,3266.3,4863.1,976.4
10896,"[2.1473821731610983, 41.38542117090461]","[2.183678739193396, 41.44583947875368]",7.36853719113464,8917.3,1109.7,8467.1,6096.1,9065.3,1841.6
10897,"[2.183432471481019, 41.377982930388455]","[2.1887999401084275, 41.37805168249392]",0.4479093958891126,1102.6,159.8,1067.8,768.8,1269.5,273.6
10898,"[2.1233660020038108, 41.37828592238332]","[2.180123588922553, 41.41914199756016]",6.561327847840531,7506.3,933.2,7150.4,5148.1,8412.9,1682.5
10899,"[2.199535597332683, 41.44454963246229]","[2.1609342499856736, 41.36510258730832]",9.402461316974366,13696.0,1396.3,10931.0,7870.2,12941.8,2717.6
10900,"[2.158446905139298, 41.42065989411816]","[2.147198854169824, 41.34871908319894]",8.054306556982716,12741.2,1253.4,9724.1,7001.2,11583.5,2392.8
10901,"[2.159967588012288, 41.37095424638191]","[2.158488143630355, 41.4211153317099]",5.579023214761041,9482.9,1132.1,7038.5,5067.6,8554.9,1781.8
10902,"[2.1570321805226977, 41.4487119280767]","[2.149541923868153, 41.418370347786045]",3.4311279290688854,5286.8,886.3,4751.5,3421.0,5703.1,1151.1
10903,"[2.1743982821777963, 41.42648916765905]","[2.172927758401417, 41.405647384620096]",2.320742415686054,3668.0,435.8,2842.5,2046.5,3578.5,733.5
10904,"[2.1862281331327877, 41.38875909499274]","[2.116000259974819, 41.3985033889607]",5.957538332368712,8052.8,904.2,7173.3,5164.7,7298.3,1580.4
10905,"[2.154897293189614, 41.40435429592877]","[2.0961199695063275, 41.427044618064286]",5.512619260209401,11534.0,1402.5,7699.1,5543.3,10262.5,2089.9
10906,"[2.155507777019519, 41.43054487895928]","[2.172182306815698, 41.44999382486339]",2.5707713802021486,3802.2,682.6,3622.5,2608.2,4099.9,890.6
10907,"[2.207044439543597, 41.435511622627]","[2.1652395824067603, 41.37894265690505]",7.191802982498952,9456.2,1166.7,8059.3,5802.5,9136.3,1878.5
10908,"[2.166929407050489, 41.44177270009739]","[2.179777707615526, 41.408696199707215]",3.8307694432348973,6293.3,662.1,4379.0,3152.8,5205.6,1094.8
10909,"[2.120191636220917, 41.39914692690837]","[2.1453560832574383, 41.3559850982351]",5.238564787460031,6939.3,758.3,5608.6,4038.1,6312.9,1315.5
10910,"[2.169511452802746, 41.43479717127579]","[2.129627952652514, 41.371040087371]",7.831087902059359,10860.1,1290.7,9259.9,6666.9,10927.2,2188.3
10911,"[2.182071726011402, 41.39449323440056]","[2.21391922010266, 41.40311574183851]",2.824133300024557,4247.3,487.2,3543.5,2551.3,4137.7,904.8
10912,"[2.1813279589678376, 41.415432343904975]","[2.181491360562668, 41.415102018837366]",0.03917642592842897,234.4,31.1,103.7,74.7,218.0,43.6
10913,"[2.14811847871735, 41.37838952620827]","[2.1673548316138342, 41.36889112121413]",1.9214412656336515,3310.8,538.2,2491.6,1793.9,3264.8,854.7
10914,"[2.1880946707625086, 41.41939282946267]","[2.176485356334072, 41.446827699866674]",3.2004613788058918,4386.2,591.0,3706.9,2668.9,4114.0,833.4
10915,"[2.165415661813647, 41.440295165535055]","[2.1589475352810696, 41.34124174879248]",11.02744599520977,,,,,,
10916,"[2.186217722326907, 41.40815879450094]","[2.175913312054448, 41.40037783508305]",1.2194992146748258,1219.8,121.4,1335.8,961.8,1225.0,247.1
10917,"[2.206372481395436, 41.421320530128746]","[2.1469196728514137, 41.3964980172819]",5.674683142696175,6323.5,687.5,6541.8,4710.0,6403.7,1290.4
10918,"[2.1711571890298127, 41.428757767388056]","[2.116290812414264, 41.41845278824718]",4.715986697152983,10158.1,1249.8,5929.8,4269.3,6741.7,1524.9
